context_id,context_name,site,V,I,B,E,VIBE
1,"Rave, 3:00am",Geneva,0.9574,0.8288,0.8526,0.9104,0.8859
1,"Rave, 3:00am",Geneva,0.9716,0.688,0.9126,0.8454,0.8474
1,"Rave, 3:00am",Geneva,0.8611,0.8555,0.8595,0.9311,0.8763
1,"Rave, 3:00am",Geneva,0.9139,0.9353,0.8471,0.8858,0.8949
1,"Rave, 3:00am",Geneva,0.964,0.7176,0.8475,0.8659,0.8441
1,"Rave, 3:00am",Geneva,0.9521,0.7805,0.8821,0.8713,0.8693
1,"Rave, 3:00am",Geneva,0.8949,0.8348,0.9449,0.854,0.8812
1,"Rave, 3:00am",Geneva,0.9102,0.7132,0.8654,0.8684,0.8357
1,"Rave, 3:00am",London,0.9238,0.9277,0.8616,0.9726,0.9206
1,"Rave, 3:00am",London,0.9119,0.759,0.8496,0.8917,0.851
1,"Rave, 3:00am",London,0.9166,0.8681,0.883,0.8865,0.8884
1,"Rave, 3:00am",London,0.8615,0.7678,0.7836,0.8857,0.8231
1,"Rave, 3:00am",London,0.9262,0.7717,0.8274,0.8386,0.8392
1,"Rave, 3:00am",London,0.8432,0.8943,0.8678,0.9155,0.8798
1,"Rave, 3:00am",London,0.9317,0.7401,0.8985,0.8543,0.853
1,"Rave, 3:00am",London,0.8922,0.6885,0.9966,0.9025,0.8622
1,"Rave, 3:00am",Tokyo,0.9774,0.8437,0.7596,0.8977,0.866
1,"Rave, 3:00am",Tokyo,0.9402,0.7288,0.9267,0.9056,0.8708
1,"Rave, 3:00am",Tokyo,0.9144,0.7626,0.8671,0.8262,0.8407
1,"Rave, 3:00am",Tokyo,0.933,0.7224,0.8859,0.8119,0.8344
1,"Rave, 3:00am",Tokyo,0.9769,0.8447,0.8287,0.9491,0.8976
1,"Rave, 3:00am",Tokyo,0.9068,0.8285,0.882,0.792,0.8511
1,"Rave, 3:00am",Tokyo,0.8687,0.7842,0.8773,0.8541,0.8453
1,"Rave, 3:00am",São Paulo,0.9202,0.6891,0.8583,0.9638,0.851
1,"Rave, 3:00am",São Paulo,0.9529,0.8827,0.871,0.9012,0.9014
1,"Rave, 3:00am",São Paulo,0.9315,0.829,0.9331,0.9594,0.9118
1,"Rave, 3:00am",São Paulo,0.9338,0.7322,0.8848,0.8793,0.854
1,"Rave, 3:00am",São Paulo,0.8976,0.7945,0.8693,0.7867,0.8357
1,"Rave, 3:00am",São Paulo,0.9482,0.9405,0.9141,0.8669,0.9169
1,"Rave, 3:00am",São Paulo,0.9696,0.8108,0.8327,0.833,0.8593
2,Monday morning remote standup,Geneva,0.2931,0.1675,0.2192,0.3824,0.2533
2,Monday morning remote standup,Geneva,0.2212,0.0573,0.345,0.4625,0.2121
2,Monday morning remote standup,Geneva,0.3242,0.2119,0.4096,0.3926,0.3242
2,Monday morning remote standup,Geneva,0.2892,0.2452,0.3225,0.494,0.326
2,Monday morning remote standup,Geneva,0.325,0.0702,0.2252,0.4334,0.2172
2,Monday morning remote standup,Geneva,0.2141,0.2495,0.3835,0.3881,0.2986
2,Monday morning remote standup,Geneva,0.2511,0.1857,0.274,0.5401,0.2882
2,Monday morning remote standup,Geneva,0.3382,0.1641,0.293,0.5461,0.307
2,Monday morning remote standup,London,0.3065,0.216,0.3503,0.5431,0.335
2,Monday morning remote standup,London,0.2568,0.1315,0.4973,0.4633,0.297
2,Monday morning remote standup,London,0.2533,0.1762,0.4612,0.4536,0.3108
2,Monday morning remote standup,London,0.2152,0.2223,0.3697,0.4804,0.3036
2,Monday morning remote standup,London,0.1904,0.1957,0.4261,0.5083,0.2997
2,Monday morning remote standup,London,0.2167,0.1443,0.3229,0.4365,0.2577
2,Monday morning remote standup,London,0.2274,0.1884,0.1661,0.379,0.2279
2,Monday morning remote standup,London,0.1501,0.1165,0.3019,0.7289,0.2491
